id,source,name,lat,lng
46012,NDBC,NDBC 46012,37.356,-122.881
46236,NDBC,NDBC 46236,36.760,-121.950
46042,NDBC,NDBC 46042,36.787,-122.408
46239,NDBC,NDBC 46239,37.356,-122.881
